ingredientId,locationId,quantity
1,1,10
2,1,10
3,1,10
4,1,10
5,1,10
6,1,10
7,1,10
8,1,10
9,1,10
10,1,10
11,1,10
12,1,10
13,1,10
14,1,10
15,1,10
16,1,10
17,1,10
18,1,10
19,1,10
20,1,10
21,1,10
22,1,10
23,1,10
24,1,10
25,1,10
26,1,10
27,1,10
28,1,10
29,1,10
30,1,10
31,1,10
32,1,10
33,1,10
34,1,10
35,1,10
36,1,10
37,1,10
38,1,10
39,1,10
40,1,10
41,1,10
42,1,10
43,1,10
44,1,10
45,1,10
46,1,10
47,1,10
48,1,10
49,1,10
50,1,10
51,1,10
52,1,10
53,1,10
54,1,10
55,1,10
56,1,10
57,1,10
58,1,10
59,1,10
60,1,10
61,1,10
62,1,10
63,1,10
64,1,10
65,1,10
66,1,10
67,1,10
68,1,10
69,1,10
70,1,10
71,1,10
72,1,10
73,1,10
74,1,10
75,1,10
76,1,10
77,1,10
78,1,10
79,1,10
80,1,10
81,1,10
82,1,10
83,1,10
84,1,10
85,1,10
86,1,10
87,1,10
88,1,10
89,1,10
90,1,10
91,1,10
92,1,10
93,1,10
94,1,10
95,1,10
96,1,10
97,1,10
98,1,10
99,1,10
100,1,10
101,1,10
102,1,10
103,1,10
104,1,10
105,1,10
106,1,10
107,1,10
108,1,10
109,1,10
110,1,10
111,1,10
112,1,10
113,1,10
114,1,10
115,1,10
116,1,10
117,1,10
118,1,10
119,1,10
120,1,10
121,1,10
122,1,10
123,1,10
124,1,10
125,1,10
126,1,10
127,1,10
128,1,10
129,1,10
130,1,10
131,1,10
132,1,10
133,1,10
134,1,10
135,1,10
136,1,10
137,1,10
138,1,10
139,1,10
140,1,10
141,1,10
142,1,10
143,1,10
144,1,10
145,1,10
146,1,10
147,1,10
148,1,10
149,1,10
150,1,10
151,1,10
152,1,10
153,1,10
154,1,10
155,1,10
156,1,10
157,1,10
158,1,10
159,1,10
160,1,10
161,1,10
162,1,10
163,1,10
164,1,10
165,1,10
166,1,10
167,1,10
168,1,10
169,1,10
170,1,10
171,1,10
172,1,10
173,1,10
174,1,10
175,1,10
176,1,10
177,1,10
178,1,10
179,1,10
180,1,10
181,1,10
182,1,10
183,1,10
184,1,10
185,1,10
186,1,10
187,1,10
188,1,10
189,1,10
190,1,10
191,1,10
192,1,10
193,1,10
194,1,10
195,1,10
196,1,10
197,1,10
198,1,10
199,1,10
200,1,10
201,1,10
202,1,10
203,1,10
204,1,10
205,1,10
206,1,10
207,1,10
208,1,10
209,1,10
210,1,10
211,1,10
212,1,10
213,1,10
214,1,10
215,1,10
216,1,10
217,1,10
218,1,10
219,1,10
220,1,10
221,1,10
222,1,10
223,1,10
224,1,10
225,1,10
226,1,10
227,1,10
228,1,10
229,1,10
230,1,10
231,1,10
232,1,10
233,1,10
234,1,10
235,1,10
236,1,10
237,1,10
238,1,10
239,1,10
240,1,10
241,1,10
242,1,10
243,1,10
244,1,10
245,1,10
246,1,10
247,1,10
248,1,10
249,1,10
250,1,10
251,1,10
252,1,10
253,1,10
254,1,10
255,1,10
256,1,10
257,1,10
258,1,10
259,1,10
260,1,10
261,1,10
262,1,10
263,1,10
264,1,10
265,1,10
266,1,10
267,1,10
268,1,10
269,1,10
270,1,10
271,1,10
272,1,10
273,1,10
274,1,10
275,1,10
276,1,10
277,1,10
278,1,10
279,1,10
280,1,10
281,1,10
282,1,10
283,1,10
284,1,10
285,1,10
286,1,10
287,1,10
288,1,10
289,1,10
290,1,10
291,1,10
292,1,10
293,1,10
294,1,10
295,1,10
296,1,10
297,1,10
298,1,10
299,1,10
300,1,10
301,1,10
302,1,10
303,1,10
304,1,10
305,1,10
306,1,10
307,1,10
308,1,10
309,1,10
310,1,10
311,1,10
312,1,10
313,1,10
314,1,10
315,1,10
316,1,10
317,1,10
318,1,10
319,1,10
320,1,10
321,1,10
322,1,10
323,1,10
324,1,10
325,1,10
326,1,10
327,1,10
328,1,10
329,1,10
330,1,10
331,1,10
332,1,10
333,1,10
334,1,10
335,1,10
336,1,10
337,1,10
338,1,10
339,1,10
340,1,10
341,1,10
342,1,10
343,1,10
344,1,10
345,1,10
346,1,10
347,1,10
348,1,10
349,1,10
350,1,10
351,1,10
352,1,10
353,1,10
354,1,10
355,1,10
356,1,10
357,1,10
358,1,10
359,1,10
360,1,10
361,1,10
362,1,10
363,1,10
364,1,10
365,1,10
366,1,10
367,1,10
368,1,10
369,1,10
370,1,10
371,1,10
372,1,10
373,1,10
374,1,10
375,1,10
376,1,10
377,1,10
378,1,10
379,1,10
380,1,10
381,1,10
382,1,10
383,1,10
384,1,10
385,1,10
386,1,10
387,1,10
388,1,10
389,1,10
390,1,10
391,1,10
392,1,10
393,1,10
394,1,10
395,1,10
396,1,10
397,1,10
398,1,10
399,1,10
400,1,10
401,1,10
402,1,10
403,1,10
404,1,10
405,1,10
406,1,10
407,1,10
408,1,10
409,1,10
410,1,10
411,1,10
412,1,10
413,1,10
414,1,10
415,1,10
416,1,10
417,1,10
418,1,10
419,1,10
420,1,10
421,1,10
422,1,10
423,1,10
424,1,10
425,1,10
426,1,10
427,1,10
428,1,10
429,1,10
430,1,10
431,1,10
432,1,10
433,1,10
434,1,10
435,1,10
436,1,10
437,1,10
438,1,10
439,1,10
440,1,10
441,1,10
442,1,10
443,1,10
444,1,10
445,1,10
446,1,10
447,1,10
448,1,10
449,1,10
450,1,10
451,1,10
452,1,10
453,1,10
454,1,10
455,1,10
456,1,10
457,1,10
458,1,10
459,1,10
460,1,10
461,1,10
462,1,10
463,1,10
464,1,10
465,1,10
466,1,10
467,1,10
468,1,10
469,1,10
470,1,10
471,1,10
472,1,10
473,1,10
474,1,10
475,1,10
476,1,10
477,1,10
478,1,10
479,1,10
480,1,10